4046251	Bay Landing Strip	Bay Landing Strip	Bay Field,Bay Landing Strip	34.71259	-87.2653	S	AIRP	US		AL	079			0	173	171	America/Chicago	2006-01-15
4046271	Bay Minette Municipal Airport	Bay Minette Municipal Airport		30.87157	-87.81987	S	AIRP	US		AL	003			0	76	78	America/Chicago	2014-10-07
4046448	Olney Municipal Airport	Olney Municipal Airport	KONY,ONY,Olney Municipal Airport	33.35149	-98.81731	S	AIRP	US		TX	503			0	385	386	America/Chicago	2013-05-11
4047374	Northwest Alabama Regional Airport	Northwest Alabama Regional Airport	KMSL,MSL,Muscle Shoals Airport,Muscle Shoals Regional Airport,Northwest Alabama Regional Airport	34.74509	-87.61003	S	AIRP	US		AL	033			0	165	163	America/Chicago	2017-08-07
4047921	Bessemer Airport	Bessemer Airport	KEKY	33.31194	-86.92546	S	AIRP	US		AL	073			0	213	211	America/Chicago	2014-10-07
4048444	Schroder Airport	Schroder Airport		38.55302	-84.76411	S	AIRP	US		KY	187			0	276	275	America/New_York	2014-10-07
4048484	Threshing Bee Airport	Threshing Bee Airport		39.19167	-95.21553	S	AIRP	US		KS	087	72150		0	347	345	America/Chicago	2017-05-23
4049191	Bibb County Airport	Bibb County Airport	Bibb County Airport,Bibb County Municipal Airport	32.93744	-87.08794	S	AIRP	US		AL	007			0	75	73	America/Chicago	2014-10-07
4049999	Birmingham–Shuttlesworth International Airport	Birmingham-Shuttlesworth International Airport	Aeroporto di Birmingham,Aeropuerto Internacional Birmingham-Shuttlesworth,BHM,Birmingham Municipal Airport,Birminghamin kansainvaelinen lentoasema,Birminghamin kansainvälinen lentoasema,Birmingham–Shuttlesworth International Airport,KBHM,Port lotniczy Birmingham-Shuttlesworth,San bay quoc te Birmingham,Sân bay quốc tế Birmingham,baminguhamu guo ji kong gang,bo ming han-sha te er si wo si guo ji ji chang,فرودگاه بین‌المللی برمینگهم-شاتلسورث,バーミングハム国際空港,伯明翰－沙特尔斯沃思国际机场	33.56166	-86.75254	S	AIRP	US		AL	073			0	185	193	America/Chicago	2014-11-02
4050001	Birmingham Municipal Airport-North	Birmingham Municipal Airport-North		33.5676	-86.74443	S	AIRP	US		AL	073			0	192	189	America/Chicago	2012-02-21
4050003	Birmingham Municipal City Police Airport	Birmingham Municipal City Police Airport		33.55844	-86.74582	S	AIRP	US		AL	073			0	190	187	America/Chicago	2006-01-15
4051429	Boy's Ranch Airport	Boy's Ranch Airport		32.10792	-87.06804	S	AIRP	US		AL	047			0	90	91	America/Chicago	2006-01-15
4051707	Brewton Municipal Airport	Brewton Municipal Airport		31.05099	-87.06065	S	AIRP	US		AL	053			0	25	28	America/Chicago	2014-10-07
4051909	Mobile Downtown Airport	Mobile Downtown Airport	BFM,Brookley Airport,KBFM,Mobile Downtown Airport	30.62812	-88.06921	S	AIRP	US		AL	097			0	6	12	America/Chicago	2014-10-07
4052169	Brundidge Municipal Airport	Brundidge Municipal Airport		31.73349	-85.80467	S	AIRP	US		AL	109			0	142	145	America/Chicago	2006-01-15
4052276	Bryant Culberson Airport	Bryant Culberson Airport		33.20595	-87.52778	S	AIRP	US		AL	125			0	85	89	America/Chicago	2006-01-15
4052685	Burton D Olshan Airport	Burton D Olshan Airport		33.5226	-86.69082	S	AIRP	US		AL	073			0	288	291	America/Chicago	2006-01-15
4052770	Butler-Choctaw County Airport	Butler-Choctaw County Airport		32.11654	-88.12383	S	AIRP	US		AL	023			0	37	38	America/Chicago	2011-12-11
4053205	Camden Municipal Airport	Camden Municipal Airport		31.97959	-87.33907	S	AIRP	US		AL	131			0	43	44	America/Chicago	2017-05-04
4053325	Camp Hill-Tallapoosa County Airport	Camp Hill-Tallapoosa County Airport		32.78207	-85.65829	S	AIRP	US		AL	123			0	192	197	America/Chicago	2006-01-15
4053703	Carl Folsom Airport	Carl Folsom Airport	Carl Folsom Airport,Elba Municipal Airport	31.41024	-86.09155	S	AIRP	US		AL	031			0	79	81	America/Chicago	2011-12-11
4054812	Roy Wilcox Airport	Roy Wilcox Airport	Chatom Municipal Airport,Roy Wilcox Airport	31.45117	-88.19524	S	AIRP	US		AL	129			0	46	49	America/Chicago	2014-10-07
